NAME,GENDER,AGE,OXY,RUNTIME,RUNPULSE,RSTPULSE,MAXPULSE
Donna,食失,42,59.571,8.17,166,40,172
Gracie,食失,38,60.055,8.63,170,48,186
Luanne,食失,43,54.297,8.65,156,45,168
Mimi,食失,50,54.625,8.92,146,48,155
Chris,害失,49,49.156,8.95,180,44,185
Allen,害失,38,49.874,9.22,178,55,180
Nancy,食失,49,48.673,9.4,186,56,188
Patty,食失,52,45.441,9.63,164,48,166
Suzanne,食失,57,50.545,9.93,148,49,155
Teresa,食失,51,46.672,10,162,48,168
Bob,害失,39,45.313,10.07,185,62,185
Harriett,食失,49,50.388,10.08,168,67,168
Jane,食失,44,50.541,10.13,168,45,168
Harold,害失,48,46.774,10.25,162,48,164
Sammy,害失,54,51.855,10.33,166,50,170
Buffy,食失,52,45.79,10.47,186,59,188
Trent,害失,38,47.467,10.5,170,53,172
Jackie,食失,47,47.273,10.6,162,47,164
Ralph,害失,43,49.091,10.85,162,64,170
Jack,害失,51,40.836,10.95,168,57,172
Annie,食失,51,45.118,11.08,172,48,172
Kate,食失,45,44.754,11.12,176,51,176
Carl,害失,54,46.08,11.17,156,62,165
Don,害失,44,44.609,11.37,178,62,182
Effie,食失,48,47.92,11.5,170,52,176
George,害失,37,44.811,11.63,176,58,176
Iris,食失,39,45.681,11.95,176,70,180
Mark,害失,57,39.407,12.63,174,58,176
Steve,害失,54,39.203,12.88,168,44,172
Vaughn,害失,44,39.442,13.08,174,63,176
William,害失,45,37.388,14.03,186,56,192
